listing_id;Details
279481;Terrace, Mountain view, Swimming pool, Basement, Guest toilet, Garden, Balcony, Sea/lake view, Built-in kitchen
279482;Elevator, Terrace, Basement, Patio, Sea/lake view
279484;Fireplace, Terrace, Swimming pool,  Guest toilet, Garden, Built-in kitchen
279490;Air conditioning Swimming pool Sea/lake view Built-in kitchen
279496;Fireplace, Terrace, Jacuzzi, Air conditioning, Swimming pool, Basement,  Guest toilet, Garden, Balcony, Sea/lake view, Built-in kitchen
279498;Golf course, Security system, Fireplace, Terrace, Mountain view, Jacuzzi, Air conditioning, Swimming pool, Basement, Sauna,  Guest toilet, Sea/lake view, Built-in kitchen
279499;Golf course, Fireplace, Terrace, Helicopter pad, Mountain view, Air conditioning, Swimming pool, Tennis court, Guest toilet, Garden, Built-in kitchen
279501;Fireplace, Security system, Guest apartment, Jacuzzi, Air conditioning, Basement, Patio, Guest toilet, Built-in kitchen, Sea/lake view, Terrace, Elevator, Mountain view, Swimming pool, Garden, Balcony
279502;Basement, Patio, Attic, Garden, Balcony
279503;Fireplace, Elevator, Terrace, Mountain view, Air conditioning, Swimming pool, Garden, Sea/lake view, Built-in kitchen
279511;Fireplace, Terrace, Guest apartment, Mountain view, Swimming pool, Tennis court, Garden, Balcony
279512;Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool, Guest toilet, Garden, Built-in kitchen
279515;Fireplace, Terrace, Mountain view, Swimming pool, Basement, Garden, Built-in kitchen
279516;Security system, Fireplace, Terrace, Air conditioning, Swimming pool, Guest toilet, Garden, Built-in kitchen
279520;Terrace, Swimming pool, Lake view, Built-in kitchen
279522;Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool, Garden, Built-in kitchen
279523;Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool, Guest toilet, Garden, Built-in kitchen
279526;Mountain view, Air conditioning, Swimming pool, Garden, Built-in kitchen
279527;Security system, Fireplace, Terrace, Swimming pool, Basement, Guest toilet, Garden, Built-in kitchen
279531;Security system, Terrace, Air conditioning, Swimming pool, Guest toilet, Garden, Balcony, Built-in kitchen
279533;Fireplace, Terrace, Mountain view, Swimming pool, Balcony, Sea/lake view, Built-in kitchen
279534;Air conditioning, Basement, Sea/lake view
279539;Fireplace, Terrace, Swimming pool, Patio, Guest toilet, Garden
279540;Security system, Elevator, Jacuzzi, Air conditioning, Guest toilet, Sea/lake view, Built-in kitchen, Senior oriented
279543;Terrace Air conditioning Swimming pool Guest toilet Sea/lake view Built-in kitchen
279544;Elevator, Terrace, Mountain view, Air conditioning, Swimming pool, Basement, Guest toilet, Sea/lake view
279545;Security system, Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool, Sauna, Garden, Balcony, Sea/lake view, Built-in kitchen
279546;Fireplace, Terrace, Guest apartment, Jacuzzi, Swimming pool, Guest toilet, Garden, Built-in kitchen
279548;Fireplace, Terrace, Air conditioning, Swimming pool, Guest toilet, Garden, Built-in kitchen
279549;Terrace, Mountain view, Swimming pool, Basement, Garden, Balcony
279550;Fireplace, Terrace, Air conditioning, Swimming pool, Guest toilet, Garden, Built-in kitchen
279554;Basement
279556;Fireplace, Terrace, Air conditioning, Swimming pool, Garden, Sea/lake view, Built-in kitchen
279558;Security system Fireplace Terrace Air conditioning Swimming pool Basement Guest toilet Garden Balcony Sea/lake view Built-in kitchen
279559;Golf course, Security system, Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool, Sauna,  Tennis court, Garden, Built-in kitchen
279560;Golf course, Security system, Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool, Patio, Sauna,  Guest toilet, Garden, Built-in kitchen
279562;Fireplace, Terrace, Guest apartment, Air conditioning, Swimming pool, Garden, Sea/lake view, Built-in kitchen
279563;Fireplace, Terrace, Air conditioning, Swimming pool, Sea/lake view, Built-in kitchen
279567;Security system, Fireplace, Terrace, Air conditioning, Swimming pool, Basement, Patio, Sauna, Garden, Built-in kitchen
279568;Mountain view
279569;Golf course, Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool, Garden
279570;Terrace, Mountain view, Jacuzzi, Swimming pool,  Guest toilet, Garden, Sea/lake view, Built-in kitchen
279571;Fireplace, Elevator, Terrace, Guest apartment, Mountain view, Air conditioning, Swimming pool, Basement, Guest toilet, Garden, Balcony, Sea/lake view
279572;Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool, Garden, Sea/lake view, Built-in kitchen
279573;Fireplace, Terrace, Guest apartment, Air conditioning, Swimming pool, Tennis court, Built-in kitchen
279576;Fireplace, Terrace, Mountain view, Swimming pool, Basement, Guest toilet, Garden, Built-in kitchen
279577;Terrace Mountain view Swimming pool Basement Garden Built-in kitchen
279578;Security system, Fireplace, Terrace, Air conditioning, Swimming pool, Basement, Sauna, Guest toilet, Garden, Built-in kitchen
279579;Terrace, Mountain view, Air conditioning, Swimming pool, Guest toilet, Garden, Built-in kitchen
279585;Fireplace, Terrace, Mountain view, Jacuzzi, Air conditioning, Swimming pool, Guest toilet, Garden, Built-in kitchen
279586;Fireplace, Terrace, Guest apartment, Mountain view, Swimming pool, Basement, Sauna, Guest toilet, Garden, Balcony, Built-in kitchen
279590;Terrace Waterfront Air conditioning Swimming pool Basement Sea/lake view Built-in kitchen
279591;Fireplace, Terrace, Air conditioning, Swimming pool, Basement, Guest toilet, Built-in kitchen
279592;Security system, Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool, Basement, Patio, Sauna,  Guest toilet, Garden, Built-in kitchen
279593;Terrace, Air conditioning, Swimming pool, Lake view, Garden, Sea/lake view, Built-in kitchen
279594;Security system, Fireplace, Terrace, Waterfront, Air conditioning, Swimming pool, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279597;Terrace, Garden
279602;Fireplace Security system Guest apartment Jacuzzi Air conditioning Basement Patio Guest toilet Built-in kitchen Terrace Elevator Swimming pool Garden Balcony
279604;Terrace, Air conditioning, Guest toilet, Garden, Built-in kitchen
279605;Fireplace, Terrace, Mountain view, Swimming pool, Guest toilet, Garden
279606;Air conditioning
279607;Fireplace, Terrace, Air conditioning, Swimming pool, Patio, Garden, Balcony, Sea/lake view, Built-in kitchen
279608;Air conditioning
279610;Fireplace Elevator Terrace Mountain view Air conditioning Swimming pool Garden Balcony Built-in kitchen
279613;Fireplace, Terrace, Jacuzzi, Air conditioning, Swimming pool, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279615;Fireplace, Guest apartment, Mountain view, Swimming pool, Guest toilet, Garden, Built-in kitchen
279618;Security system, Terrace, Mountain view, Air conditioning, Swimming pool, Basement,  Garden, Sea/lake view, Built-in kitchen
279619;Elevator, Terrace, Accessible for wheelchairs, Mountain view, Swimming pool, Basement, Garden, Balcony, Sea/lake view, Senior oriented
279620;Fireplace, Terrace, Air conditioning, Patio, Garden, Sea/lake view, Built-in kitchen
279623;Elevator, Terrace, Air conditioning, Built-in kitchen
279624;Terrace, Air conditioning, Swimming pool, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279625;Terrace, Mountain view, Waterfront, Swimming pool, Garden, Balcony, Sea/lake view
279629;Fireplace, Terrace, Waterfront, Air conditioning, Basement, Guest toilet, Garden, Built-in kitchen
279630;Fireplace, Terrace, Guest apartment, Mountain view, Swimming pool, Garden, Sea/lake view, Built-in kitchen
279631;Security system, Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool, Sauna, Lake view, Garden, Built-in kitchen
279636;Terrace, Mountain view, Air conditioning, Swimming pool, Garden, Balcony, Sea/lake view, Built-in kitchen
279637;Air conditioning Sea/lake view
279639;Fireplace, Terrace, Jacuzzi, Air conditioning, Swimming pool, Basement, Sauna, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279643;Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool, Guest toilet, Garden, Balcony, Built-in kitchen
279644;Golf course, Fireplace, Terrace, Helicopter pad, Air conditioning, Swimming pool, Garden, Built-in kitchen
279645;Fireplace, Terrace, Air conditioning, Swimming pool, Guest toilet, Garden, Built-in kitchen
279649;Fireplace Terrace Mountain view Air conditioning Swimming pool Basement Sauna Garden Built-in kitchen
279650;Security system, Terrace, Mountain view, Air conditioning, Swimming pool, Basement, Guest toilet, Garden, Balcony, Sea/lake view, Built-in kitchen
279653;Fireplace, Terrace, Air conditioning, Swimming pool, Basement, Sauna, Guest toilet, Garden, Built-in kitchen
279654;Fireplace, Terrace, Guest apartment, Swimming pool, Basement, Garden, Built-in kitchen
279659;Golf course, Security system, Fireplace, Terrace, Guest apartment, Mountain view, Air conditioning, Swimming pool, Basement, Patio, Sauna,  Garden, Built-in kitchen
279660;Fireplace, Terrace, Air conditioning, Swimming pool, Basement, Garden, Balcony, Sea/lake view, Built-in kitchen
279661;Terrace, Air conditioning, Swimming pool, Basement, Garden, Balcony, Built-in kitchen
279662;Security system, Terrace, Mountain view, Air conditioning, Swimming pool, Guest toilet, Garden, Balcony, Built-in kitchen
279665;Security system, Fireplace, Terrace, Guest apartment, Mountain view, Air conditioning, Swimming pool, Basement, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279667;Security system, Fireplace, Terrace, Jacuzzi, Swimming pool, Basement, Sauna,  Garden, Balcony, Sea/lake view, Built-in kitchen
279668;Fireplace Terrace Air conditioning Swimming pool Basement Guest toilet Garden Built-in kitchen
279670;Terrace, Mountain view, Air conditioning, Swimming pool, Basement, Guest toilet, Garden, Built-in kitchen
279672;Terrace, Mountain view, Air conditioning, Swimming pool, Basement,  Guest toilet, Garden, Sea/lake view, Built-in kitchen
279681;Security system, Terrace, Air conditioning, Swimming pool, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279682;Fireplace Terrace Air conditioning Swimming pool Guest toilet Sea/lake view Built-in kitchen
279684;Fireplace, Elevator, Terrace, Air conditioning, Swimming pool, Sauna,  Guest toilet, Built-in kitchen
279685;Fireplace, Terrace, Air conditioning, Swimming pool, Basement, Sauna
279687;Elevator, Terrace, Mountain view, Swimming pool, Basement, Patio, Garden, Sea/lake view, Built-in kitchen
279689;Fireplace, Elevator, Mountain view, Jacuzzi, Swimming pool, Basement, Sauna, Guest toilet, Built-in kitchen
279690;Security system, Fireplace, Terrace, Swimming pool, Sea/lake view, Built-in kitchen
279693;Elevator, Terrace, Waterfront, Air conditioning, Swimming pool, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279694;Fireplace, Terrace, Waterfront, Air conditioning, Balcony, Sea/lake view
279695;Security system, Fireplace, Terrace, Jacuzzi, Air conditioning, Swimming pool, Basement, Guest toilet, Garden, Balcony, Sea/lake view, Built-in kitchen
279699;Air conditioning, Basement
279701;Security system, Fireplace, Elevator, Terrace, Mountain view, Waterfront, Air conditioning, Swimming pool, Garden, Sea/lake view, Built-in kitchen
279702;Terrace, Mountain view, Air conditioning, Swimming pool, Garden, Built-in kitchen
279705;Terrace, Waterfront, Garden, Sea/lake view
279706;Terrace, Air conditioning, Basement, Patio, Guest toilet, Garden, Built-in kitchen
279708;Fireplace Terrace Guest apartment Mountain view Air conditioning Swimming pool Lake view Guest toilet Garden Built-in kitchen
279714;Terrace, Mountain view, Swimming pool, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279715;Fireplace, Terrace, Waterfront, Swimming pool, Basement, Garden, Sea/lake view, Built-in kitchen
279720;Fireplace, Terrace, Mountain view, Swimming pool, Sauna, Garden, Built-in kitchen
279723;Fireplace, Terrace, Air conditioning, Built-in kitchen
279726;Security system, Fireplace, Terrace, Air conditioning, Swimming pool, Basement, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279727;Terrace, Air conditioning, Swimming pool, Basement, Garden, Sea/lake view, Built-in kitchen
279731;Fireplace, Terrace, Guest apartment, Mountain view, Air conditioning, Swimming pool, Sauna, Guest toilet, Built-in kitchen
279735;Terrace, Air conditioning, Swimming pool, Guest toilet, Garden, Built-in kitchen
279737;Terrace, Mountain view, Air conditioning, Swimming pool, Basement, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279739;Fireplace, Terrace, Air conditioning, Swimming pool, Garden, Built-in kitchen
279740;Golf course, Security system, Fireplace, Terrace, Mountain view, Swimming pool, Garden, Built-in kitchen, Senior oriented
279741;Terrace, Mountain view, Air conditioning, Swimming pool, Basement, Garden, Balcony, Sea/lake view, Built-in kitchen
279743;Security system Fireplace Terrace Guest apartment Swimming pool Guest toilet Garden Balcony Built-in kitchen
279746;Terrace, Swimming pool, Basement, Garden
279749;Fireplace, Terrace, Accessible for wheelchairs, Guest apartment, Swimming pool, Guest toilet, Garden, Sea/lake view, Built-in kitchen, Senior oriented
279750;Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool, Patio, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279752;Fireplace, Terrace, Air conditioning, Swimming pool, Guest toilet, Sea/lake view, Built-in kitchen
279755;Fireplace, Terrace, Mountain view, Swimming pool, Patio, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279759;Terrace, Mountain view, Swimming pool, Garden
279763;Security system, Fireplace, Terrace, Guest apartment, Mountain view, Air conditioning, Swimming pool, Garden, Built-in kitchen, Senior oriented
279765;Security system, Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool, Basement, Garden, Sea/lake view, Built-in kitchen
279766;Fireplace, Mountain view, Air conditioning, Swimming pool, Sea/lake view
279768;Fireplace, Terrace, Mountain view, Swimming pool, Guest toilet, Garden, Built-in kitchen
279770;Security system, Fireplace, Terrace, Mountain view, Jacuzzi, Swimming pool, Basement, Sauna, Garden, Sea/lake view, Built-in kitchen, Senior oriented
279775;Terrace, Jacuzzi, Air conditioning, Swimming pool, Basement, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279776;Elevator, Terrace, Mountain view, Air conditioning
279778;Fireplace, Terrace, Jacuzzi, Air conditioning, Swimming pool, Basement, Guest toilet, Garden, Built-in kitchen
279779;Fireplace, Terrace, Air conditioning, Swimming pool, Garden
279781;Fireplace, Terrace, Waterfront, Swimming pool, Basement, Sauna,  Guest toilet, Garden, Balcony, Sea/lake view, Built-in kitchen
279782;Fireplace, Swimming pool, Guest toilet, Built-in kitchen
279783;Security system, Terrace, Guest apartment, Mountain view, Air conditioning, Swimming pool, Guest toilet, Garden, Balcony, Built-in kitchen
279785;Fireplace, Swimming pool, Garden
279790;Air conditioning Guest toilet Built-in kitchen
279794;Fireplace, Terrace, Air conditioning, Swimming pool, Guest toilet, Balcony, Sea/lake view, Built-in kitchen
279797;Terrace, Mountain view, Air conditioning, Swimming pool, Basement, Garden, Sea/lake view, Built-in kitchen
279798;Terrace, Air conditioning, Swimming pool, Sea/lake view, Built-in kitchen
279799;Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool, Basement, Guest toilet, Garden, Sea/lake view, Built-in kitchen
