listing_id	old_price	new_price	change_date	Details
279466	3500000	3950000	2016-12-11	Terrace, Jacuzzi, Air conditioning, Swimming pool, Sea/lake view, Built-in kitchen
279466	3950000	3750000	2017-02-02	Terrace, Jacuzzi, Air conditioning, Swimming pool, Sea/lake view, Built-in kitchen
279467	3950000	3500000	2016-02-12	Fireplace, Terrace, Air conditioning, Swimming pool, Basement, Guest toilet, Garden, Built-in kitchen
279467	3500000	2900000	2017-06-09	Fireplace, Terrace, Air conditioning, Swimming pool, Basement, Guest toilet, Garden, Built-in kitchen
279468	3950000	4150000	2016-11-03	Security system, Fireplace, Terrace, Guest apartment, Air conditioning, Swimming pool, Basement,  Guest toilet, Garden, Built-in kitchen
279473	3950000	4500000	2016-08-11	Security system, Fireplace, Terrace, Mountain view, Jacuzzi, Air conditioning, Swimming pool, Freight Elevator, Sauna, Guest toilet, Sea/lake view, Built-in kitchen
279475	3950000	4495000	2016-01-20	Security system, Fireplace, Elevator, Terrace, Air conditioning, Swimming pool, Basement, Guest toilet, Sea/lake view, Built-in kitchen
279477	3950000	3600000	2016-08-14	Fireplace Terrace Air conditioning Swimming pool Patio Garden Sea/lake view Built-in kitchen
279479	3900000	2950000	2016-11-01	Terrace, Mountain view, Jacuzzi, Air conditioning, Swimming pool, Basement, Sauna, Guest toilet, Garden, Built-in kitchen
279480	3900000	3480000	2016-03-09	Security system, Fireplace, Terrace, Air conditioning, Swimming pool, Basement, Sauna, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279484	3900000	3650000	2017-03-19	Fireplace, Terrace, Swimming pool,  Guest toilet, Garden, Built-in kitchen
279499	3000000	2000000	2016-03-03	Golf course, Fireplace, Terrace, Helicopter pad, Mountain view, Air conditioning, Swimming pool, Tennis court, Guest toilet, Garden, Built-in kitchen
279501	3800000	3950000	2016-08-06	Fireplace, Security system, Guest apartment, Jacuzzi, Air conditioning, Basement, Patio, Guest toilet, Built-in kitchen, Sea/lake view, Terrace, Elevator, Mountain view, Swimming pool, Garden, Balcony
279502	3000000	4000000	2016-11-17	Basement, Patio, Attic, Garden, Balcony
279504	3800000	3490000	2016-01-29	Fireplace, Elevator, Terrace, Mountain view, Air conditioning, Swimming pool, Garden, Sea/lake view, Built-in kitchen
279509	2950000	2695000	2016-05-12	Fireplace, Elevator, Terrace, Mountain view, Air conditioning, Swimming pool, Garden, Sea/lake view, Built-in kitchen
279509	2695000	2495000	2016-10-25	Fireplace, Elevator, Terrace, Mountain view, Air conditioning, Swimming pool, Garden, Sea/lake view, Built-in kitchen
279515	2950000	2500000	2016-05-03	Fireplace, Terrace, Mountain view, Swimming pool, Basement, Garden, Built-in kitchen
279515	2500000	2600000	2016-12-06	Fireplace, Terrace, Mountain view, Swimming pool, Basement, Garden, Built-in kitchen
279516	3400000	2950000	2017-03-30	Security system, Fireplace, Terrace, Air conditioning, Swimming pool, Guest toilet, Garden, Built-in kitchen
279526	2950000	2500000	2016-10-08	Mountain view, Air conditioning, Swimming pool, Garden, Built-in kitchen
279527	2950000	2750000	2017-01-27	Security system, Fireplace, Terrace, Swimming pool, Basement, Guest toilet, Garden, Built-in kitchen
279530	3500000	3000000	2016-05-03	Security system, Fireplace, Terrace, Swimming pool, Basement, Guest toilet, Garden, Built-in kitchen
279530	3000000	3250000	2016-10-11	Security system, Fireplace, Terrace, Swimming pool, Basement, Guest toilet, Garden, Built-in kitchen
279533	2950000	2700000	2016-02-12	Fireplace, Terrace, Mountain view, Swimming pool, Balcony, Sea/lake view, Built-in kitchen
279535	2950000	1690000	2016-02-04	Air conditioning, Basement, Sea/lake view
279544	2950000	2750000	2017-01-11	Elevator, Terrace, Mountain view, Air conditioning, Swimming pool, Basement, Guest toilet, Sea/lake view
279545	3680000	3980000	2016-10-12	Security system, Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool, Sauna, Garden, Balcony, Sea/lake view, Built-in kitchen
279546	2650000	2950000	2017-08-02	Fireplace, Terrace, Guest apartment, Jacuzzi, Swimming pool, Guest toilet, Garden, Built-in kitchen
279550	3900000	3650000	2016-04-19	Fireplace, Terrace, Air conditioning, Swimming pool, Guest toilet, Garden, Built-in kitchen
279559	2950000	3400000	2016-10-04	Golf course, Security system, Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool, Sauna,  Tennis court, Garden, Built-in kitchen
279560	3600000	2975000	2016-04-14	Golf course, Security system, Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool, Patio, Sauna,  Guest toilet, Garden, Built-in kitchen
279560	2975000	3300000	2017-01-03	Golf course, Security system, Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool, Patio, Sauna,  Guest toilet, Garden, Built-in kitchen
279562	2950000	2490000	2017-05-18	Fireplace, Terrace, Guest apartment, Air conditioning, Swimming pool, Garden, Sea/lake view, Built-in kitchen
279565	3500000	3250000	2016-08-18	Fireplace, Terrace, Air conditioning, Swimming pool, Sea/lake view, Built-in kitchen
279567	3000000	3800000	2016-02-24	Security system, Fireplace, Terrace, Air conditioning, Swimming pool, Basement, Patio, Sauna, Garden, Built-in kitchen
279568	2900000	2750000	2017-03-23	Mountain view
279569	2900000	2600000	2016-10-04	Golf course, Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool, Garden
279572	3200000	2999000	2017-04-22	Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool, Garden, Sea/lake view, Built-in kitchen
279578	4800000	3950000	2016-11-25	Security system, Fireplace, Terrace, Air conditioning, Swimming pool, Basement, Sauna, Guest toilet, Garden, Built-in kitchen
279584	2900000	2450000	2016-10-21	Terrace, Mountain view, Air conditioning, Swimming pool, Guest toilet, Garden, Built-in kitchen
279586	2500000	2900000	2016-02-16	Fireplace, Terrace, Guest apartment, Mountain view, Swimming pool, Basement, Sauna, Guest toilet, Garden, Balcony, Built-in kitchen
279586	2900000	2500000	2016-07-23	Fireplace, Terrace, Guest apartment, Mountain view, Swimming pool, Basement, Sauna, Guest toilet, Garden, Balcony, Built-in kitchen
279586	2500000	2400000	2016-10-06	Fireplace, Terrace, Guest apartment, Mountain view, Swimming pool, Basement, Sauna, Guest toilet, Garden, Balcony, Built-in kitchen
279590	4000000	4500000	2016-12-03	Terrace Waterfront Air conditioning Swimming pool Basement Sea/lake view Built-in kitchen
279591	2900000	2600000	2016-06-14	Fireplace, Terrace, Air conditioning, Swimming pool, Basement, Guest toilet, Built-in kitchen
279593	2900000	2750000	2016-05-07	Terrace, Air conditioning, Swimming pool, Lake view, Garden, Sea/lake view, Built-in kitchen
279604	3500000	2745000	2017-02-23	Terrace, Air conditioning, Guest toilet, Garden, Built-in kitchen
279606	3500000	2950000	2016-06-30	Air conditioning
279614	3450000	2990000	2016-01-21	Fireplace, Terrace, Jacuzzi, Air conditioning, Swimming pool, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279615	2800000	2500000	2016-09-20	Fireplace, Guest apartment, Mountain view, Swimming pool, Guest toilet, Garden, Built-in kitchen
279620	2400000	1495000	2017-06-03	Fireplace, Terrace, Air conditioning, Patio, Garden, Sea/lake view, Built-in kitchen
279623	3400000	2995000	2016-06-17	Elevator, Terrace, Air conditioning, Built-in kitchen
279623	2995000	2950000	2016-08-26	Elevator, Terrace, Air conditioning, Built-in kitchen
279624	2400000	2525000	2016-05-21	Terrace, Air conditioning, Swimming pool, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279624	2525000	2250000	2016-12-20	Terrace, Air conditioning, Swimming pool, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279625	3400000	3700000	2016-07-28	Terrace, Mountain view, Waterfront, Swimming pool, Garden, Balcony, Sea/lake view
279629	3395000	2995000	2016-03-30	Fireplace, Terrace, Waterfront, Air conditioning, Basement, Guest toilet, Garden, Built-in kitchen
279636	3300000	3100000	2016-04-08	Terrace, Mountain view, Air conditioning, Swimming pool, Garden, Balcony, Sea/lake view, Built-in kitchen
279636	3100000	2900000	2016-07-03	Terrace, Mountain view, Air conditioning, Swimming pool, Garden, Balcony, Sea/lake view, Built-in kitchen
279639	2500000	2490000	2017-03-17	Fireplace, Terrace, Jacuzzi, Air conditioning, Swimming pool, Basement, Sauna, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279642	2750000	2450000	2016-04-30	Fireplace, Terrace, Jacuzzi, Air conditioning, Swimming pool, Basement, Sauna, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279643	3300000	2800000	2016-09-09	Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool, Guest toilet, Garden, Balcony, Built-in kitchen
279644	3000000	3500000	2017-04-28	Golf course, Fireplace, Terrace, Helicopter pad, Air conditioning, Swimming pool, Garden, Built-in kitchen
279654	3250000	2950000	2017-05-25	Fireplace, Terrace, Guest apartment, Swimming pool, Basement, Garden, Built-in kitchen
279654	2950000	3200000	2017-06-15	Fireplace, Terrace, Guest apartment, Swimming pool, Basement, Garden, Built-in kitchen
279665	3200000	3550000	2016-09-30	Security system, Fireplace, Terrace, Guest apartment, Mountain view, Air conditioning, Swimming pool, Basement, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279667	0	2680000	2016-05-22	Security system, Fireplace, Terrace, Jacuzzi, Swimming pool, Basement, Sauna,  Garden, Balcony, Sea/lake view, Built-in kitchen
279667	2680000	2850000	2017-06-03	Security system, Fireplace, Terrace, Jacuzzi, Swimming pool, Basement, Sauna,  Garden, Balcony, Sea/lake view, Built-in kitchen
279668	3200000	2500000	2016-02-18	Fireplace Terrace Air conditioning Swimming pool Basement Guest toilet Garden Built-in kitchen
279681	2650000	2750000	2016-05-13	Security system, Terrace, Air conditioning, Swimming pool, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279687	3700000	2200000	2016-02-25	Elevator, Terrace, Mountain view, Swimming pool, Basement, Patio, Garden, Sea/lake view, Built-in kitchen
279687	2200000	4200000	2017-04-11	Elevator, Terrace, Mountain view, Swimming pool, Basement, Patio, Garden, Sea/lake view, Built-in kitchen
279687	4200000	2200000	2017-08-08	Elevator, Terrace, Mountain view, Swimming pool, Basement, Patio, Garden, Sea/lake view, Built-in kitchen
279689	2600000	2400000	2016-11-29	Fireplace, Elevator, Mountain view, Jacuzzi, Swimming pool, Basement, Sauna, Guest toilet, Built-in kitchen
279690	2250000	1600000	2017-06-24	Security system, Fireplace, Terrace, Swimming pool, Sea/lake view, Built-in kitchen
279694	1900000	2300000	2016-03-22	Fireplace, Terrace, Waterfront, Air conditioning, Balcony, Sea/lake view
279695	1675000	1550000	2016-03-15	Security system, Fireplace, Terrace, Jacuzzi, Air conditioning, Swimming pool, Basement, Guest toilet, Garden, Balcony, Sea/lake view, Built-in kitchen
279695	1550000	1675000	2016-04-16	Security system, Fireplace, Terrace, Jacuzzi, Air conditioning, Swimming pool, Basement, Guest toilet, Garden, Balcony, Sea/lake view, Built-in kitchen
279699	1900000	1600000	2016-02-17	Air conditioning, Basement
279699	1600000	1450000	2017-02-08	Air conditioning, Basement
279701	2250000	2800000	2016-11-11	Security system, Fireplace, Elevator, Terrace, Mountain view, Waterfront, Air conditioning, Swimming pool, Garden, Sea/lake view, Built-in kitchen
279723	1650000	1495000	2016-03-10	Fireplace, Terrace, Air conditioning, Built-in kitchen
279731	1750000	1950000	2016-03-09	Fireplace, Terrace, Guest apartment, Mountain view, Air conditioning, Swimming pool, Sauna, Guest toilet, Built-in kitchen
279731	1950000	1850000	2016-05-07	Fireplace, Terrace, Guest apartment, Mountain view, Air conditioning, Swimming pool, Sauna, Guest toilet, Built-in kitchen
279734	1899000	1400000	2016-10-08	Fireplace, Terrace, Guest apartment, Mountain view, Air conditioning, Swimming pool, Sauna, Guest toilet, Built-in kitchen
279735	1650000	1550000	2017-07-06	Terrace, Air conditioning, Swimming pool, Guest toilet, Garden, Built-in kitchen
279740	2500000	2800000	2017-04-19	Golf course, Security system, Fireplace, Terrace, Mountain view, Swimming pool, Garden, Built-in kitchen, Senior oriented
279741	2200000	1950000	2016-01-29	Terrace, Mountain view, Air conditioning, Swimming pool, Basement, Garden, Balcony, Sea/lake view, Built-in kitchen
279749	1750000	1950000	2017-01-20	Fireplace, Terrace, Accessible for wheelchairs, Guest apartment, Swimming pool, Guest toilet, Garden, Sea/lake view, Built-in kitchen, Senior oriented
279752	1880000	1380000	2016-01-21	Fireplace, Terrace, Air conditioning, Swimming pool, Guest toilet, Sea/lake view, Built-in kitchen
279752	1380000	1680000	2016-02-10	Fireplace, Terrace, Air conditioning, Swimming pool, Guest toilet, Sea/lake view, Built-in kitchen
279754	1775000	1690000	2016-02-13	Fireplace, Terrace, Air conditioning, Swimming pool, Guest toilet, Sea/lake view, Built-in kitchen
279754	1690000	1500000	2016-04-01	Fireplace, Terrace, Air conditioning, Swimming pool, Guest toilet, Sea/lake view, Built-in kitchen
279756	2200000	1500000	2016-09-15	Fireplace, Terrace, Mountain view, Swimming pool, Patio, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279763	1600000	1450000	2017-03-24	Security system, Fireplace, Terrace, Guest apartment, Mountain view, Air conditioning, Swimming pool, Garden, Built-in kitchen, Senior oriented
279763	1450000	1550000	2017-04-27	Security system, Fireplace, Terrace, Guest apartment, Mountain view, Air conditioning, Swimming pool, Garden, Built-in kitchen, Senior oriented
279765	2200000	2650000	2016-02-19	Security system, Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool, Basement, Garden, Sea/lake view, Built-in kitchen
279767	2500000	2600000	2016-03-25	Fireplace, Mountain view, Air conditioning, Swimming pool, Sea/lake view
279768	1850000	1498000	2016-05-05	Fireplace, Terrace, Mountain view, Swimming pool, Guest toilet, Garden, Built-in kitchen
279770	2200000	1950000	2016-03-30	Security system, Fireplace, Terrace, Mountain view, Jacuzzi, Swimming pool, Basement, Sauna, Garden, Sea/lake view, Built-in kitchen, Senior oriented
279779	2195000	1950000	2016-05-12	Fireplace, Terrace, Air conditioning, Swimming pool, Garden
279779	1950000	1850000	2016-07-15	Fireplace, Terrace, Air conditioning, Swimming pool, Garden
279779	1850000	1650000	2016-09-20	Fireplace, Terrace, Air conditioning, Swimming pool, Garden
279794	2150000	1975000	2016-08-19	Fireplace, Terrace, Air conditioning, Swimming pool, Guest toilet, Balcony, Sea/lake view, Built-in kitchen
279794	1975000	2375000	2017-03-25	Fireplace, Terrace, Air conditioning, Swimming pool, Guest toilet, Balcony, Sea/lake view, Built-in kitchen
279796	2500000	2900000	2016-08-11	Fireplace, Terrace, Air conditioning, Swimming pool, Guest toilet, Balcony, Sea/lake view, Built-in kitchen
279799	1600000	2200000	2017-04-11	Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool, Basement, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279803	1300000	1400000	2016-08-10	Fireplace, Terrace, Swimming pool, Basement, Garden, Sea/lake view, Built-in kitchen
279804	2100000	1650000	2016-05-07	Fireplace, Terrace, Guest apartment, Mountain view, Air conditioning, Swimming pool, Garden, Built-in kitchen
279813	1800000	1500000	2016-02-06	Security system Terrace Air conditioning Swimming pool Guest toilet Garden Balcony Built-in kitchen
279816	1800000	1850000	2017-06-21	Golf course, Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool, Basement, Guest toilet, Garden, Built-in kitchen
279824	2100000	1700000	2016-02-23	Fireplace, Terrace, Swimming pool, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279838	2100000	1950000	2016-02-12	Golf course, Security system, Fireplace, Terrace, Air conditioning, Swimming pool, Basement, Sauna,  Guest toilet, Sea/lake view, Built-in kitchen
279842	2300000	2100000	2016-03-18	Fireplace, Terrace, Guest apartment, Air conditioning, Swimming pool,  Guest toilet, Garden, Built-in kitchen
279842	2100000	1800000	2016-11-25	Fireplace, Terrace, Guest apartment, Air conditioning, Swimming pool,  Guest toilet, Garden, Built-in kitchen
279843	0	1595000	2016-03-09	Fireplace, Terrace, Guest apartment, Air conditioning, Swimming pool,  Guest toilet, Garden, Built-in kitchen
279844	2100000	1850000	2016-11-10	Security system, Fireplace, Terrace, Guest apartment, Mountain view, Swimming pool, Garden, Built-in kitchen
279847	2500000	1900000	2016-09-23	Garden
279849	1590000	2600000	2017-01-27	Terrace, Accessible for wheelchairs, Air conditioning, Swimming pool, Basement, Garden, Balcony, Sea/lake view, Built-in kitchen
279862	2500000	2900000	2017-04-21	Security system, Fireplace, Terrace, Waterfront, Air conditioning, Swimming pool, Sauna, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279862	2900000	2500000	2017-06-29	Security system, Fireplace, Terrace, Waterfront, Air conditioning, Swimming pool, Sauna, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279862	2500000	2900000	2017-06-30	Security system, Fireplace, Terrace, Waterfront, Air conditioning, Swimming pool, Sauna, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279865	2000000	1600000	2016-03-03	Golf course, Fireplace, Terrace, Helicopter pad, Mountain view, Air conditioning, Swimming pool, Tennis court, Guest toilet, Garden
279869	2000000	1800000	2016-08-10	Terrace, Waterfront, Air conditioning, Basement, Garden, Balcony, Sea/lake view, Built-in kitchen
279876	1575000	1350000	2016-12-31	Fireplace, Terrace, Jacuzzi, Swimming pool, Sauna
279876	1350000	1312500	2017-02-14	Fireplace, Terrace, Jacuzzi, Swimming pool, Sauna
279877	1775000	1575000	2016-07-13	Fireplace, Terrace, Jacuzzi, Swimming pool, Sauna
279891	1550000	1700000	2016-08-27	Security system, Fireplace, Terrace, Guest apartment, Air conditioning, Swimming pool, Guest toilet, Garden, Sea/lake view, Built-in kitchen
279895	1750000	1550000	2017-08-10	Fireplace, Terrace, Air conditioning, Swimming pool, Garden
279898	1750000	1400000	2017-03-01	Fireplace, Terrace, Swimming pool, Garden, Built-in kitchen
279903	1980000	2100000	2017-05-06	Security system, Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool, Basement, Guest toilet, Garden, Balcony, Built-in kitchen
279903	2100000	2200000	2017-06-21	Security system, Fireplace, Terrace, Mountain view, Air conditioning, Swimming pool, Basement, Guest toilet, Garden, Balcony, Built-in kitchen
